timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603287335588,76,create a list,201,,Load testing 1-492,text,true,,341,278,14,14,http://localhost:9094/tdLists/create,72,0,55
1603287335588,76,create a list,201,,Load testing 1-495,text,true,,341,278,14,14,http://localhost:9094/tdLists/create,72,0,55
1603287335587,77,create a list,201,,Load testing 1-494,text,true,,341,278,14,14,http://localhost:9094/tdLists/create,73,0,57
1603287335588,76,create a list,201,,Load testing 1-491,text,true,,341,278,14,14,http://localhost:9094/tdLists/create,72,0,55
1603287335588,76,create a list,201,,Load testing 1-500,text,true,,341,278,14,14,http://localhost:9094/tdLists/create,72,0,55
1603287335729,3,create a list,201,,Load testing 1-485,text,true,,341,278,16,16,http://localhost:9094/tdLists/create,3,0,1
1603287335587,77,create a list,201,,Load testing 1-497,text,true,,341,278,14,14,http://localhost:9094/tdLists/create,73,0,57
1603287335613,51,create a list,201,,Load testing 1-488,text,true,,341,278,14,14,http://localhost:9094/tdLists/create,47,0,31
1603287335588,76,create a list,201,,Load testing 1-496,text,true,,341,278,14,14,http://localhost:9094/tdLists/create,72,0,56
1603287335686,3,create a list,201,,Load testing 1-486,text,true,,341,278,15,15,http://localhost:9094/tdLists/create,3,0,1
1603287335648,16,create a list,201,,Load testing 1-487,text,true,,341,278,14,14,http://localhost:9094/tdLists/create,12,0,1
1603287335587,77,create a list,201,,Load testing 1-499,text,true,,341,278,14,14,http://localhost:9094/tdLists/create,73,0,56
1603287335587,77,create a list,201,,Load testing 1-489,text,true,,341,278,14,14,http://localhost:9094/tdLists/create,73,0,57
1603287335588,76,create a list,201,,Load testing 1-498,text,true,,341,278,14,14,http://localhost:9094/tdLists/create,72,0,56
1603287335588,76,create a list,201,,Load testing 1-493,text,true,,341,278,14,14,http://localhost:9094/tdLists/create,72,0,57
1603287335587,77,create a list,201,,Load testing 1-490,text,true,,341,278,14,14,http://localhost:9094/tdLists/create,73,0,57
1603287335769,3,create a list,201,,Load testing 1-484,text,true,,341,278,17,17,http://localhost:9094/tdLists/create,3,0,1
1603287335806,1,Debug Sampler,200,OK,Load testing 1-497,text,true,,295,0,18,18,null,0,0,0
1603287335807,0,Debug Sampler,200,OK,Load testing 1-492,text,true,,294,0,18,18,null,0,0,0
1603287335807,0,Debug Sampler,200,OK,Load testing 1-491,text,true,,295,0,18,18,null,0,0,0
1603287335808,0,Debug Sampler,200,OK,Load testing 1-495,text,true,,295,0,18,18,null,0,0,0
1603287335810,0,Debug Sampler,200,OK,Load testing 1-485,text,true,,295,0,18,18,null,0,0,0
1603287335810,0,Debug Sampler,200,OK,Load testing 1-484,text,true,,295,0,18,18,null,0,0,0
