timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603296229316,119,create a list,201,,Soak test 1-971,text,true,,340,278,584,584,http://localhost:9094/tdLists/create,116,0,82
1603296229314,123,create a list,201,,Soak test 1-993,text,true,,340,278,584,584,http://localhost:9094/tdLists/create,115,0,81
1603296229317,121,create a list,201,,Soak test 1-926,text,true,,340,278,584,584,http://localhost:9094/tdLists/create,113,0,81
1603296229377,60,create a list,201,,Soak test 1-921,text,true,,340,278,584,584,http://localhost:9094/tdLists/create,55,0,35
1603296229315,121,create a list,201,,Soak test 1-965,text,true,,340,278,584,584,http://localhost:9094/tdLists/create,121,0,87
1603296229315,121,create a list,201,,Soak test 1-986,text,true,,340,278,584,584,http://localhost:9094/tdLists/create,116,0,80
1603296229317,117,create a list,201,,Soak test 1-959,text,true,,340,278,584,584,http://localhost:9094/tdLists/create,117,0,84
1603296229316,130,create a list,201,,Soak test 1-996,text,true,,340,278,587,587,http://localhost:9094/tdLists/create,130,0,84
1603296229314,122,create a list,201,,Soak test 1-988,text,true,,340,278,584,584,http://localhost:9094/tdLists/create,117,0,84
1603296229313,133,create a list,201,,Soak test 1-948,text,true,,340,278,587,587,http://localhost:9094/tdLists/create,132,0,88
1603296229315,121,create a list,201,,Soak test 1-974,text,true,,340,278,584,584,http://localhost:9094/tdLists/create,116,0,112
1603296229450,4,create a list,201,,Soak test 1-912,text,true,,340,278,590,590,http://localhost:9094/tdLists/create,3,0,1
1603296229316,132,create a list,201,,Soak test 1-989,text,true,,340,278,588,588,http://localhost:9094/tdLists/create,131,0,88
1603296229317,120,create a list,201,,Soak test 1-982,text,true,,340,278,584,584,http://localhost:9094/tdLists/create,110,0,107
1603296229314,123,create a list,201,,Soak test 1-995,text,true,,340,278,584,584,http://localhost:9094/tdLists/create,114,0,81
1603296229313,121,create a list,201,,Soak test 1-941,text,true,,340,278,584,584,http://localhost:9094/tdLists/create,112,0,82
1603296229314,122,create a list,201,,Soak test 1-977,text,true,,340,278,584,584,http://localhost:9094/tdLists/create,122,0,89
1603296229314,121,create a list,201,,Soak test 1-961,text,true,,340,278,584,584,http://localhost:9094/tdLists/create,119,0,83
1603296229344,94,create a list,201,,Soak test 1-922,text,true,,340,278,584,584,http://localhost:9094/tdLists/create,82,0,71
1603296229315,121,create a list,201,,Soak test 1-956,text,true,,340,278,584,584,http://localhost:9094/tdLists/create,114,0,99
1603296229440,3,create a list,201,,Soak test 1-914,text,true,,340,278,586,586,http://localhost:9094/tdLists/create,3,0,2
1603296229314,122,create a list,201,,Soak test 1-969,text,true,,340,278,584,584,http://localhost:9094/tdLists/create,118,0,96
1603296229448,4,create a list,201,,Soak test 1-916,text,true,,340,278,589,589,http://localhost:9094/tdLists/create,4,0,1
1603296229315,124,create a list,201,,Soak test 1-929,text,true,,340,278,584,584,http://localhost:9094/tdLists/create,124,0,89
1603296229315,122,create a list,201,,Soak test 1-944,text,true,,340,278,584,584,http://localhost:9094/tdLists/create,114,0,100
1603296229316,122,create a list,201,,Soak test 1-942,text,true,,340,278,584,584,http://localhost:9094/tdLists/create,116,0,78
1603296229314,122,create a list,201,,Soak test 1-963,text,true,,340,278,584,584,http://localhost:9094/tdLists/create,117,0,79
1603296229314,122,create a list,201,,Soak test 1-934,text,true,,340,278,584,584,http://localhost:9094/tdLists/create,115,0,113
1603296229314,122,create a list,201,,Soak test 1-958,text,true,,340,278,584,584,http://localhost:9094/tdLists/create,118,0,92
1603296229313,129,create a list,201,,Soak test 1-951,text,true,,340,278,586,586,http://localhost:9094/tdLists/create,129,0,83
1603296229315,121,create a list,201,,Soak test 1-991,text,true,,340,278,584,584,http://localhost:9094/tdLists/create,114,0,112
1603296229312,123,create a list,201,,Soak test 1-939,text,true,,340,278,584,584,http://localhost:9094/tdLists/create,121,0,85
1603296229314,132,create a list,201,,Soak test 1-968,text,true,,340,278,587,587,http://localhost:9094/tdLists/create,131,0,88
1603296229314,130,create a list,201,,Soak test 1-1000,text,true,,340,278,586,586,http://localhost:9094/tdLists/create,130,0,85
1603296229315,120,create a list,201,,Soak test 1-983,text,true,,340,278,584,584,http://localhost:9094/tdLists/create,117,0,83
