timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603286872016,45,create a list,201,,Spike test 1-501,text,true,,341,278,1,1,http://localhost:9094/tdLists/create,43,0,33
1603286872132,1,Debug Sampler,200,OK,Spike test 1-501,text,true,,288,0,1,1,null,0,0,0
1603286872134,2,Create a task,201,,Spike test 1-501,text,true,,324,322,1,1,http://localhost:9094/tasks/create,2,0,0
1603286872137,0,Debug Sampler,200,OK,Spike test 1-501,text,true,,304,0,1,1,null,0,0,0
1603286872138,101,Read list,200,,Spike test 1-501,text,true,,179873,186,1,1,http://localhost:9094/tdLists/read,99,0,0
1603286872451,4,Debug Sampler,200,OK,Spike test 1-501,text,true,,31514,0,1,1,null,0,0,0
1603286872455,48,Read tasks,200,,Spike test 1-501,text,true,,68161,184,1,1,http://localhost:9094/tasks/read,46,0,0
1603286872554,5,Debug Sampler,200,OK,Spike test 1-501,text,true,,55318,0,1,1,null,0,0,0
1603286872560,2,Update list,202,,Spike test 1-501,text,true,,342,288,1,1,http://localhost:9094/tdLists/update/25042,2,0,0
1603286872563,3,Update task,202,,Spike test 1-501,text,true,,321,268,1,1,http://localhost:9094/tasks/update/24831,3,0,0
1603286872567,4,Delete task,204,,Spike test 1-501,,true,,191,214,1,1,http://localhost:9094/tasks/delete/24831,0,0,0
1603286872571,2,Delete list,204,,Spike test 1-501,,true,,191,216,1,1,http://localhost:9094/tdLists/delete/25042,0,0,0
1603286872593,2,create a list,201,,Spike test 1-501,text,true,,341,278,1,1,http://localhost:9094/tdLists/create,2,0,1
1603286872596,3,Debug Sampler,200,OK,Spike test 1-501,text,true,,55315,0,1,1,null,0,0,0
1603286872599,2,Create a task,201,,Spike test 1-501,text,true,,324,322,1,1,http://localhost:9094/tasks/create,2,0,0
1603286872602,3,Debug Sampler,200,OK,Spike test 1-501,text,true,,55318,0,1,1,null,0,0,0
1603286872606,118,Read list,200,,Spike test 1-501,text,true,,179873,186,1,1,http://localhost:9094/tdLists/read,115,0,0
1603286872921,2,Debug Sampler,200,OK,Spike test 1-501,text,true,,55318,0,1,1,null,0,0,0
1603286872924,50,Read tasks,200,,Spike test 1-501,text,true,,68161,184,1,1,http://localhost:9094/tasks/read,49,0,0
1603286873020,3,Debug Sampler,200,OK,Spike test 1-501,text,true,,55318,0,1,1,null,0,0,0
1603286873024,2,Update list,202,,Spike test 1-501,text,true,,342,288,1,1,http://localhost:9094/tdLists/update/25043,2,0,0
1603286873027,2,Update task,202,,Spike test 1-501,text,true,,321,268,1,1,http://localhost:9094/tasks/update/24832,2,0,0
1603286873030,3,Delete task,204,,Spike test 1-501,,true,,191,214,1,1,http://localhost:9094/tasks/delete/24832,0,0,0
1603286873033,3,Delete list,204,,Spike test 1-501,,true,,191,216,1,1,http://localhost:9094/tdLists/delete/25043,0,0,0
1603286873037,2,create a list,201,,Spike test 1-501,text,true,,341,278,1,1,http://localhost:9094/tdLists/create,2,0,1
1603286873040,2,Debug Sampler,200,OK,Spike test 1-501,text,true,,55315,0,1,1,null,0,0,0
1603286873042,3,Create a task,201,,Spike test 1-501,text,true,,324,322,1,1,http://localhost:9094/tasks/create,2,0,0
1603286873045,2,Debug Sampler,200,OK,Spike test 1-501,text,true,,55318,0,1,1,null,0,0,0
1603286873047,134,Read list,200,,Spike test 1-501,text,true,,179873,186,1,1,http://localhost:9094/tdLists/read,130,0,0
1603286873284,3,Debug Sampler,200,OK,Spike test 1-501,text,true,,55318,0,1,1,null,0,0,0
1603286873287,50,Read tasks,200,,Spike test 1-501,text,true,,68161,184,1,1,http://localhost:9094/tasks/read,49,0,0
1603286873353,2,Debug Sampler,200,OK,Spike test 1-501,text,true,,55318,0,1,1,null,0,0,0
1603286873355,2,Update list,202,,Spike test 1-501,text,true,,342,288,1,1,http://localhost:9094/tdLists/update/25044,2,0,0
1603286873358,3,Update task,202,,Spike test 1-501,text,true,,321,268,1,1,http://localhost:9094/tasks/update/24833,2,0,0
1603286873361,2,Delete task,204,,Spike test 1-501,,true,,191,214,1,1,http://localhost:9094/tasks/delete/24833,0,0,0
1603286873364,2,Delete list,204,,Spike test 1-501,,true,,191,216,1,1,http://localhost:9094/tdLists/delete/25044,0,0,0
1603286873367,3,create a list,201,,Spike test 1-501,text,true,,341,278,1,1,http://localhost:9094/tdLists/create,3,0,1
1603286873370,2,Debug Sampler,200,OK,Spike test 1-501,text,true,,55315,0,1,1,null,0,0,0
1603286873372,2,Create a task,201,,Spike test 1-501,text,true,,324,322,1,1,http://localhost:9094/tasks/create,2,0,0
1603286873374,2,Debug Sampler,200,OK,Spike test 1-501,text,true,,55318,0,1,1,null,0,0,0
1603286873376,108,Read list,200,,Spike test 1-501,text,true,,179873,186,1,1,http://localhost:9094/tdLists/read,105,0,0
1603286873547,3,Debug Sampler,200,OK,Spike test 1-501,text,true,,55318,0,1,1,null,0,0,0
1603286873550,51,Read tasks,200,,Spike test 1-501,text,true,,68161,184,1,1,http://localhost:9094/tasks/read,50,0,0
1603286873616,1,Debug Sampler,200,OK,Spike test 1-501,text,true,,55318,0,1,1,null,0,0,0
1603286873618,2,Update list,202,,Spike test 1-501,text,true,,342,288,1,1,http://localhost:9094/tdLists/update/25045,2,0,0
1603286873621,2,Update task,202,,Spike test 1-501,text,true,,321,268,1,1,http://localhost:9094/tasks/update/24834,1,0,0
1603286873623,2,Delete task,204,,Spike test 1-501,,true,,191,214,1,1,http://localhost:9094/tasks/delete/24834,0,0,0
1603286873626,2,Delete list,204,,Spike test 1-501,,true,,191,216,1,1,http://localhost:9094/tdLists/delete/25045,0,0,0
1603286873629,2,create a list,201,,Spike test 1-501,text,true,,341,278,1,1,http://localhost:9094/tdLists/create,2,0,0
1603286873632,1,Debug Sampler,200,OK,Spike test 1-501,text,true,,55315,0,1,1,null,0,0,0
1603286873634,2,Create a task,201,,Spike test 1-501,text,true,,324,322,1,1,http://localhost:9094/tasks/create,2,0,0
1603286873636,2,Debug Sampler,200,OK,Spike test 1-501,text,true,,55318,0,1,1,null,0,0,0
1603286873638,112,Read list,200,,Spike test 1-501,text,true,,179873,186,1,1,http://localhost:9094/tdLists/read,109,0,0
1603286873810,2,Debug Sampler,200,OK,Spike test 1-501,text,true,,55318,0,1,1,null,0,0,0
1603286873812,45,Read tasks,200,,Spike test 1-501,text,true,,68161,184,1,1,http://localhost:9094/tasks/read,44,0,0
1603286873871,1,Debug Sampler,200,OK,Spike test 1-501,text,true,,55318,0,1,1,null,0,0,0
1603286873873,2,Update list,202,,Spike test 1-501,text,true,,342,288,1,1,http://localhost:9094/tdLists/update/25046,2,0,0
1603286873875,2,Update task,202,,Spike test 1-501,text,true,,321,268,1,1,http://localhost:9094/tasks/update/24835,2,0,0
1603286873878,2,Delete task,204,,Spike test 1-501,,true,,191,214,1,1,http://localhost:9094/tasks/delete/24835,0,0,0
1603286873880,3,Delete list,204,,Spike test 1-501,,true,,191,216,1,1,http://localhost:9094/tdLists/delete/25046,0,0,0
1603286873883,3,create a list,201,,Spike test 1-501,text,true,,341,278,1,1,http://localhost:9094/tdLists/create,3,0,1
1603286873887,1,Debug Sampler,200,OK,Spike test 1-501,text,true,,55315,0,1,1,null,0,0,0
1603286873888,2,Create a task,201,,Spike test 1-501,text,true,,324,322,1,1,http://localhost:9094/tasks/create,2,0,0
1603286873890,2,Debug Sampler,200,OK,Spike test 1-501,text,true,,55318,0,1,1,null,0,0,0
1603286873892,121,Read list,200,,Spike test 1-501,text,true,,179873,186,1,1,http://localhost:9094/tdLists/read,118,0,0
1603286874063,1,Debug Sampler,200,OK,Spike test 1-501,text,true,,55318,0,1,1,null,0,0,0
1603286874065,41,Read tasks,200,,Spike test 1-501,text,true,,68161,184,1,1,http://localhost:9094/tasks/read,40,0,0
1603286874123,1,Debug Sampler,200,OK,Spike test 1-501,text,true,,55318,0,1,1,null,0,0,0
1603286874124,2,Update list,202,,Spike test 1-501,text,true,,342,288,1,1,http://localhost:9094/tdLists/update/25047,2,0,0
1603286874127,2,Update task,202,,Spike test 1-501,text,true,,321,268,1,1,http://localhost:9094/tasks/update/24836,2,0,0
1603286874129,2,Delete task,204,,Spike test 1-501,,true,,191,214,1,1,http://localhost:9094/tasks/delete/24836,0,0,0
1603286874132,2,Delete list,204,,Spike test 1-501,,true,,191,216,1,1,http://localhost:9094/tdLists/delete/25047,0,0,0
1603286874134,3,create a list,201,,Spike test 1-501,text,true,,341,278,1,1,http://localhost:9094/tdLists/create,3,0,1
1603286874137,1,Debug Sampler,200,OK,Spike test 1-501,text,true,,55315,0,1,1,null,0,0,0
1603286874139,1,Create a task,201,,Spike test 1-501,text,true,,324,322,1,1,http://localhost:9094/tasks/create,1,0,0
1603286874141,1,Debug Sampler,200,OK,Spike test 1-501,text,true,,55318,0,1,1,null,0,0,0
1603286874142,102,Read list,200,,Spike test 1-501,text,true,,179873,186,1,1,http://localhost:9094/tdLists/read,99,0,0
1603286874293,1,Debug Sampler,200,OK,Spike test 1-501,text,true,,55318,0,1,1,null,0,0,0
1603286874294,46,Read tasks,200,,Spike test 1-501,text,true,,68161,184,1,1,http://localhost:9094/tasks/read,45,0,0
1603286874352,2,Debug Sampler,200,OK,Spike test 1-501,text,true,,55318,0,1,1,null,0,0,0
1603286874354,2,Update list,202,,Spike test 1-501,text,true,,342,288,1,1,http://localhost:9094/tdLists/update/25048,2,0,0
1603286874356,2,Update task,202,,Spike test 1-501,text,true,,321,268,1,1,http://localhost:9094/tasks/update/24837,2,0,0
1603286874359,2,Delete task,204,,Spike test 1-501,,true,,191,214,1,1,http://localhost:9094/tasks/delete/24837,0,0,0
1603286874361,2,Delete list,204,,Spike test 1-501,,true,,191,216,1,1,http://localhost:9094/tdLists/delete/25048,0,0,0
1603286874364,2,create a list,201,,Spike test 1-501,text,true,,341,278,1,1,http://localhost:9094/tdLists/create,2,0,0
1603286874366,1,Debug Sampler,200,OK,Spike test 1-501,text,true,,55315,0,1,1,null,0,0,0
1603286874368,2,Create a task,201,,Spike test 1-501,text,true,,324,322,1,1,http://localhost:9094/tasks/create,2,0,0
1603286874370,1,Debug Sampler,200,OK,Spike test 1-501,text,true,,55318,0,1,1,null,0,0,0
1603286874371,94,Read list,200,,Spike test 1-501,text,true,,179873,186,1,1,http://localhost:9094/tdLists/read,91,0,0
1603286874518,2,Debug Sampler,200,OK,Spike test 1-501,text,true,,55318,0,1,1,null,0,0,0
1603286874520,46,Read tasks,200,,Spike test 1-501,text,true,,68161,184,1,1,http://localhost:9094/tasks/read,44,0,0
1603286874578,1,Debug Sampler,200,OK,Spike test 1-501,text,true,,55318,0,1,1,null,0,0,0
1603286874579,2,Update list,202,,Spike test 1-501,text,true,,342,288,1,1,http://localhost:9094/tdLists/update/25049,2,0,0
1603286874582,2,Update task,202,,Spike test 1-501,text,true,,321,268,1,1,http://localhost:9094/tasks/update/24838,1,0,0
1603286874584,2,Delete task,204,,Spike test 1-501,,true,,191,214,1,1,http://localhost:9094/tasks/delete/24838,0,0,0
1603286874587,2,Delete list,204,,Spike test 1-501,,true,,191,216,1,1,http://localhost:9094/tdLists/delete/25049,0,0,0
1603286874590,2,create a list,201,,Spike test 1-501,text,true,,341,278,1,1,http://localhost:9094/tdLists/create,2,0,0
1603286874592,1,Debug Sampler,200,OK,Spike test 1-501,text,true,,55315,0,1,1,null,0,0,0
1603286874593,2,Create a task,201,,Spike test 1-501,text,true,,324,322,1,1,http://localhost:9094/tasks/create,2,0,0
1603286874595,1,Debug Sampler,200,OK,Spike test 1-501,text,true,,55318,0,1,1,null,0,0,0
1603286874596,98,Read list,200,,Spike test 1-501,text,true,,179873,186,1,1,http://localhost:9094/tdLists/read,96,0,0
1603286874741,1,Debug Sampler,200,OK,Spike test 1-501,text,true,,55318,0,1,1,null,0,0,0
1603286874742,42,Read tasks,200,,Spike test 1-501,text,true,,68161,184,1,1,http://localhost:9094/tasks/read,40,0,0
1603286874796,0,Debug Sampler,200,OK,Spike test 1-501,text,true,,55318,0,1,1,null,0,0,0
1603286874797,1,Update list,202,,Spike test 1-501,text,true,,342,288,1,1,http://localhost:9094/tdLists/update/25050,1,0,0
1603286874799,3,Update task,202,,Spike test 1-501,text,true,,321,268,1,1,http://localhost:9094/tasks/update/24839,2,0,0
1603286874802,3,Delete task,204,,Spike test 1-501,,true,,191,214,1,1,http://localhost:9094/tasks/delete/24839,0,0,0
1603286874805,2,Delete list,204,,Spike test 1-501,,true,,191,216,1,1,http://localhost:9094/tdLists/delete/25050,0,0,0
1603286874807,2,create a list,201,,Spike test 1-501,text,true,,341,278,1,1,http://localhost:9094/tdLists/create,2,0,1
1603286874810,1,Debug Sampler,200,OK,Spike test 1-501,text,true,,55315,0,1,1,null,0,0,0
