timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603293873841,43,create a list,201,,Stress test 1-499,text,true,,337,278,14,14,http://localhost:9094/tdLists/create,40,0,1
1603293873593,291,create a list,201,,Stress test 1-500,text,true,,337,278,14,14,http://localhost:9094/tdLists/create,288,0,33
1603293873981,1,Debug Sampler,200,OK,Stress test 1-500,text,true,,289,0,14,14,null,0,0,0
1603293873981,1,Debug Sampler,200,OK,Stress test 1-499,text,true,,289,0,14,14,null,0,0,0
1603293874240,5,create a list,201,,Stress test 1-498,text,true,,337,278,15,15,http://localhost:9094/tdLists/create,5,0,1
1603293874247,0,Debug Sampler,200,OK,Stress test 1-498,text,true,,289,0,15,15,null,0,0,0
1603293874637,8,create a list,201,,Stress test 1-497,text,true,,337,278,16,16,http://localhost:9094/tdLists/create,8,0,2
1603293874646,0,Debug Sampler,200,OK,Stress test 1-497,text,true,,289,0,16,16,null,0,0,0
1603293875038,8,create a list,201,,Stress test 1-496,text,true,,337,278,17,17,http://localhost:9094/tdLists/create,8,0,1
1603293875048,0,Debug Sampler,200,OK,Stress test 1-496,text,true,,289,0,17,17,null,0,0,0
1603293875436,10,create a list,201,,Stress test 1-495,text,true,,337,278,18,18,http://localhost:9094/tdLists/create,10,0,2
1603293875447,0,Debug Sampler,200,OK,Stress test 1-495,text,true,,289,0,18,18,null,0,0,0
1603293875838,10,create a list,201,,Stress test 1-494,text,true,,337,278,19,19,http://localhost:9094/tdLists/create,9,0,2
1603293875849,0,Debug Sampler,200,OK,Stress test 1-494,text,true,,289,0,19,19,null,0,0,0
1603293876235,12,create a list,201,,Stress test 1-493,text,true,,337,278,20,20,http://localhost:9094/tdLists/create,11,0,2
1603293876248,0,Debug Sampler,200,OK,Stress test 1-493,text,true,,288,0,20,20,null,0,0,0
1603293876640,16,create a list,201,,Stress test 1-492,text,true,,337,278,21,21,http://localhost:9094/tdLists/create,16,0,3
1603293876658,0,Debug Sampler,200,OK,Stress test 1-492,text,true,,289,0,21,21,null,0,0,0
1603293877041,13,create a list,201,,Stress test 1-491,text,true,,338,278,22,22,http://localhost:9094/tdLists/create,12,0,2
1603293877055,0,Debug Sampler,200,OK,Stress test 1-491,text,true,,290,0,22,22,null,0,0,0
1603293877437,6,create a list,201,,Stress test 1-490,text,true,,338,278,23,23,http://localhost:9094/tdLists/create,6,0,2
1603293877444,0,Debug Sampler,200,OK,Stress test 1-490,text,true,,289,0,23,23,null,0,0,0
